,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,43871,PRT,Europe,Portugal,2020-02-02,,,,,,,,,,,,,,,,,,,,9.922,0.973,,,,,,,,,,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
1,43872,PRT,Europe,Portugal,2020-02-09,,,,,,,,,,,,,,,,,,,,9.922,0.973,,,,,,,,,,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
2,43873,PRT,Europe,Portugal,2020-02-15,,,,,,,,,,,,,,,,,,,,15.876,1.557,,,,,,,,,,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
3,43874,PRT,Europe,Portugal,2020-02-23,,,,,,,,,,,,,,,,,,,,17.86,1.7519999999999998,,,,,,,,,,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
4,43875,PRT,Europe,Portugal,2020-03-01,,,,,,,,,,,,,,,,,,,,24.805999999999997,2.4330000000000003,25.0,,0.002,,,,,,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
5,43876,PRT,Europe,Portugal,2020-03-02,2.0,2.0,,,,,0.196,0.196,,,,,,,,,,,,,,70.0,45.0,0.006999999999999999,0.004,,,,,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
6,43877,PRT,Europe,Portugal,2020-03-03,2.0,0.0,,,,,0.196,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,131.0,61.0,0.013000000000000001,0.006,,,,,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
7,43878,PRT,Europe,Portugal,2020-03-04,5.0,3.0,,,,,0.49,0.294,,,,,,0.0,0.0,0.0,0.0,,,,,171.0,40.0,0.017,0.004,,,,,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
8,43879,PRT,Europe,Portugal,2020-03-05,8.0,3.0,,,,,0.785,0.294,,,,,,0.0,0.0,0.0,0.0,,,,,251.0,80.0,0.025,0.008,,,,,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
9,43880,PRT,Europe,Portugal,2020-03-06,13.0,5.0,,,,,1.275,0.49,,,,,,0.0,0.0,0.0,0.0,,,,,332.0,81.0,0.033,0.008,,,,,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
10,43881,PRT,Europe,Portugal,2020-03-07,20.0,7.0,2.8569999999999998,,,0.0,1.9609999999999999,0.6859999999999999,0.28,,,0.0,,0.0,0.0,0.0,0.0,,,,,411.0,79.0,0.04,0.008,,,,,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
11,43882,PRT,Europe,Portugal,2020-03-08,30.0,10.0,4.2860000000000005,,,0.0,2.9419999999999997,0.981,0.42,,,0.0,,0.0,0.0,0.0,0.0,,,82.355,8.077,495.0,84.0,0.049,0.008,67.0,0.006999999999999999,0.064,15.6,tests performed,,,,,,11.11,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
12,43883,PRT,Europe,Portugal,2020-03-09,30.0,0.0,4.0,,,0.0,2.9419999999999997,0.0,0.392,,,0.0,,0.0,0.0,0.0,0.0,,,,,670.0,175.0,0.066,0.017,86.0,0.008,0.047,21.5,tests performed,,,,,,16.67,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
