,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,44526,ROU,Europe,Romania,2020-02-26,1.0,1.0,,,,,0.052000000000000005,0.052000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
1,44527,ROU,Europe,Romania,2020-02-27,1.0,0.0,,,,,0.052000000000000005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
2,44528,ROU,Europe,Romania,2020-02-28,3.0,2.0,,,,,0.156,0.10400000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
3,44529,ROU,Europe,Romania,2020-02-29,3.0,0.0,,,,,0.156,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
4,44530,ROU,Europe,Romania,2020-03-01,3.0,0.0,,,,,0.156,0.0,,,,,,,,,,,,2.9730000000000003,0.155,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
5,44531,ROU,Europe,Romania,2020-03-02,3.0,0.0,0.429,,,0.0,0.156,0.0,0.022000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
6,44532,ROU,Europe,Romania,2020-03-03,3.0,0.0,0.429,,,0.0,0.156,0.0,0.022000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
7,44533,ROU,Europe,Romania,2020-03-04,4.0,1.0,0.429,,,0.0,0.20800000000000002,0.052000000000000005,0.022000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
8,44534,ROU,Europe,Romania,2020-03-05,6.0,2.0,0.7140000000000001,,,0.0,0.312,0.10400000000000001,0.037000000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
9,44535,ROU,Europe,Romania,2020-03-06,9.0,3.0,0.857,,,0.0,0.46799999999999997,0.156,0.045,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
10,44536,ROU,Europe,Romania,2020-03-07,9.0,0.0,0.857,,,0.0,0.46799999999999997,0.0,0.045,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,16.67,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
11,44537,ROU,Europe,Romania,2020-03-08,15.0,6.0,1.714,,,0.0,0.78,0.312,0.08900000000000001,,,0.0,,,,,,,,11.890999999999998,0.618,,,,,,,,,,,,,,,30.56,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
12,44538,ROU,Europe,Romania,2020-03-09,15.0,0.0,1.714,,,0.0,0.78,0.0,0.08900000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,33.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
13,44539,ROU,Europe,Romania,2020-03-10,25.0,10.0,3.1430000000000002,,,0.0,1.3,0.52,0.163,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,33.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
14,44540,ROU,Europe,Romania,2020-03-11,45.0,20.0,5.857,,,0.0,2.339,1.04,0.304,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,44.44,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
15,44541,ROU,Europe,Romania,2020-03-12,49.0,4.0,6.143,,,0.0,2.5469999999999997,0.20800000000000002,0.319,,,0.0,,,,,,,,,,1921.0,,0.1,,,,,,tests performed,,,,,,58.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
16,44542,ROU,Europe,Romania,2020-03-13,89.0,40.0,11.429,,,0.0,4.626,2.079,0.594,,,0.0,,,,,,,,,,2545.0,624.0,0.132,0.032,,,,,tests performed,,,,,,58.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
17,44543,ROU,Europe,Romania,2020-03-14,123.0,34.0,16.285999999999998,,,0.0,6.394,1.767,0.847,,,0.0,,,,,,,,,,2929.0,384.0,0.152,0.02,,,,,tests performed,,,,,,58.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
18,44544,ROU,Europe,Romania,2020-03-15,131.0,8.0,16.570999999999998,,,0.0,6.81,0.41600000000000004,0.861,,,0.0,1.78,,,,,,,141.69799999999998,7.3660000000000005,3205.0,276.0,0.16699999999999998,0.013999999999999999,,,,,tests performed,,,,,,58.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
19,44545,ROU,Europe,Romania,2020-03-16,158.0,27.0,20.429000000000002,,,0.0,8.213,1.403,1.062,,,0.0,1.83,,,,,,,,,3708.0,503.0,0.193,0.026000000000000002,,,,,tests performed,,,,,,58.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
20,44546,ROU,Europe,Romania,2020-03-17,184.0,26.0,22.714000000000002,,,0.0,9.565,1.3519999999999999,1.181,,,0.0,1.88,,,,,,,,,4150.0,442.0,0.21600000000000003,0.023,,,,,tests performed,,,,,,58.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
21,44547,ROU,Europe,Romania,2020-03-18,260.0,76.0,30.714000000000002,,,0.0,13.515,3.951,1.597,,,0.0,1.95,,,,,,,,,4670.0,520.0,0.243,0.027000000000000003,,,,,tests performed,,,,,,58.33,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
22,44548,ROU,Europe,Romania,2020-03-19,277.0,17.0,32.571,,,0.0,14.399000000000001,0.884,1.693,,,0.0,1.95,6.0,0.312,,,,,,,4973.0,303.0,0.259,0.016,436.0,0.023,0.075,13.4,tests performed,,,,,,61.11,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
23,44549,ROU,Europe,Romania,2020-03-20,308.0,31.0,31.285999999999998,,,0.0,16.01,1.611,1.626,,,0.0,1.99,11.0,0.5720000000000001,,,,,,,8284.0,3311.0,0.431,0.172,820.0,0.043,0.038,26.2,tests performed,,,,,,61.11,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
24,44550,ROU,Europe,Romania,2020-03-21,367.0,59.0,34.857,,,0.0,19.077,3.0669999999999997,1.8119999999999998,,,0.0,2.06,14.0,0.728,,,,,,,8915.0,631.0,0.46299999999999997,0.033,855.0,0.044000000000000004,0.040999999999999995,24.5,tests performed,,,,,,69.44,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
25,44551,ROU,Europe,Romania,2020-03-22,433.0,66.0,43.143,3.0,3.0,0.429,22.508000000000003,3.431,2.2430000000000003,0.156,0.156,0.022000000000000002,2.13,14.0,0.728,,,,,381.494,19.831,9967.0,1052.0,0.518,0.055,966.0,0.05,0.045,22.4,tests performed,,,,,,75.0,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
26,44552,ROU,Europe,Romania,2020-03-23,576.0,143.0,59.714,7.0,4.0,1.0,29.941,7.433,3.1039999999999996,0.364,0.20800000000000002,0.052000000000000005,2.19,15.0,0.78,,,,,,,11223.0,1256.0,0.583,0.065,1074.0,0.055999999999999994,0.055999999999999994,18.0,tests performed,,,,,,75.0,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
27,44553,ROU,Europe,Romania,2020-03-24,794.0,218.0,87.14299999999999,11.0,4.0,1.571,41.273,11.332,4.53,0.5720000000000001,0.20800000000000002,0.08199999999999999,2.19,16.0,0.8320000000000001,,,,,,,12624.0,1401.0,0.6559999999999999,0.073,1211.0,0.063,0.07200000000000001,13.9,tests performed,,,,,,75.0,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
28,44554,ROU,Europe,Romania,2020-03-25,906.0,112.0,92.286,17.0,6.0,2.4290000000000003,47.095,5.822,4.797,0.884,0.312,0.126,2.12,18.0,0.9359999999999999,,,,,,,14466.0,1842.0,0.752,0.096,1399.0,0.073,0.066,15.2,tests performed,,,,,,78.7,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
29,44555,ROU,Europe,Romania,2020-03-26,1029.0,123.0,107.429,23.0,6.0,3.286,53.489,6.394,5.584,1.196,0.312,0.171,2.07,29.0,1.507,,,,,,,15998.0,1532.0,0.8320000000000001,0.08,1575.0,0.08199999999999999,0.068,14.7,tests performed,,,,,,78.7,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
30,44556,ROU,Europe,Romania,2020-03-27,1292.0,263.0,140.571,26.0,3.0,3.714,67.16,13.671,7.307,1.3519999999999999,0.156,0.193,2.04,,,,,,,,,17453.0,1455.0,0.907,0.076,1310.0,0.068,0.107,9.3,tests performed,,,,,,78.7,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
31,44557,ROU,Europe,Romania,2020-03-28,1452.0,160.0,155.0,37.0,11.0,5.2860000000000005,75.477,8.317,8.057,1.923,0.5720000000000001,0.275,1.97,34.0,1.767,,,,,,,19663.0,2210.0,1.022,0.115,1535.0,0.08,0.10099999999999999,9.9,tests performed,,,,,,78.7,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
32,44558,ROU,Europe,Romania,2020-03-29,1815.0,363.0,197.429,43.0,6.0,5.7139999999999995,94.346,18.869,10.263,2.235,0.312,0.297,1.93,38.0,1.975,,,,,1363.471,70.875,21460.0,1797.0,1.1159999999999999,0.09300000000000001,1642.0,0.085,0.12,8.3,tests performed,,,,,,78.7,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
33,44559,ROU,Europe,Romania,2020-03-30,2109.0,294.0,219.0,65.0,22.0,8.286,109.62899999999999,15.283,11.384,3.3789999999999996,1.1440000000000001,0.431,1.84,53.0,2.755,,,,,,,23103.0,1643.0,1.2009999999999998,0.085,1697.0,0.08800000000000001,0.129,7.7,tests performed,,,,,,81.48,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
34,44560,ROU,Europe,Romania,2020-03-31,2245.0,136.0,207.28599999999997,82.0,17.0,10.142999999999999,116.698,7.069,10.775,4.262,0.884,0.527,1.75,62.0,3.2230000000000003,,,,,,,24654.0,1551.0,1.2819999999999998,0.081,1719.0,0.08900000000000001,0.121,8.3,tests performed,,,,,,87.04,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
35,44561,ROU,Europe,Romania,2020-04-01,2460.0,215.0,222.0,92.0,10.0,10.714,127.874,11.175999999999998,11.54,4.782,0.52,0.557,1.7,,,,,,,,,26609.0,1955.0,1.383,0.102,1735.0,0.09,0.128,7.8,tests performed,,,,,,87.04,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
36,44562,ROU,Europe,Romania,2020-04-02,2738.0,278.0,244.143,115.0,23.0,13.142999999999999,142.325,14.450999999999999,12.690999999999999,5.978,1.196,0.6829999999999999,1.66,78.0,4.055,,,,,,,28483.0,1874.0,1.4809999999999999,0.09699999999999999,1784.0,0.09300000000000001,0.13699999999999998,7.3,tests performed,,,,,,87.04,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
37,44563,ROU,Europe,Romania,2020-04-03,3183.0,445.0,270.143,133.0,18.0,15.286,165.457,23.131999999999998,14.042,6.914,0.9359999999999999,0.795,1.63,83.0,4.314,,,,,,,31657.0,3174.0,1.646,0.165,2029.0,0.105,0.133,7.5,tests performed,,,,,,87.04,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
38,44564,ROU,Europe,Romania,2020-04-04,3613.0,430.0,308.714,146.0,13.0,15.571,187.808,22.351999999999997,16.047,7.5889999999999995,0.6759999999999999,0.809,1.56,,,,,,,,,36092.0,4435.0,1.876,0.231,2347.0,0.122,0.132,7.6,tests performed,,,,,,87.04,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
39,44565,ROU,Europe,Romania,2020-04-05,3864.0,251.0,292.714,151.0,5.0,15.429,200.856,13.047,15.216,7.849,0.26,0.802,1.49,141.0,7.329,,,,,2114.569,109.91799999999999,38623.0,2531.0,2.008,0.132,2452.0,0.127,0.11900000000000001,8.4,tests performed,,,,,,87.04,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,,6.892,76.05,0.8109999999999999
