,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,45210,RWA,Africa,Rwanda,2020-03-14,1.0,1.0,,,,,0.077,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
1,45211,RWA,Africa,Rwanda,2020-03-15,1.0,0.0,,,,,0.077,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
2,45212,RWA,Africa,Rwanda,2020-03-16,5.0,4.0,,,,,0.386,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
3,45213,RWA,Africa,Rwanda,2020-03-17,7.0,2.0,,,,,0.54,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
4,45214,RWA,Africa,Rwanda,2020-03-18,8.0,1.0,,,,,0.618,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
5,45215,RWA,Africa,Rwanda,2020-03-19,8.0,0.0,1.143,,,0.0,0.618,0.0,0.08800000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.2,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
6,45216,RWA,Africa,Rwanda,2020-03-20,17.0,9.0,2.4290000000000003,,,0.0,1.3130000000000002,0.695,0.188,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,42.59,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
7,45217,RWA,Africa,Rwanda,2020-03-21,17.0,0.0,2.286,,,0.0,1.3130000000000002,0.0,0.17600000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
8,45218,RWA,Africa,Rwanda,2020-03-22,19.0,2.0,2.571,,,0.0,1.4669999999999999,0.154,0.19899999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
9,45219,RWA,Africa,Rwanda,2020-03-23,36.0,17.0,4.428999999999999,,,0.0,2.779,1.3130000000000002,0.342,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
10,45220,RWA,Africa,Rwanda,2020-03-24,40.0,4.0,4.7139999999999995,,,0.0,3.088,0.309,0.364,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
11,45221,RWA,Africa,Rwanda,2020-03-25,41.0,1.0,4.7139999999999995,,,0.0,3.165,0.077,0.364,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
12,45222,RWA,Africa,Rwanda,2020-03-26,50.0,9.0,6.0,,,0.0,3.86,0.695,0.46299999999999997,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.74,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.524
