,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,45522,KNA,North America,Saint Kitts and Nevis,2020-03-25,2.0,2.0,,,,,37.6,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
1,45523,KNA,North America,Saint Kitts and Nevis,2020-03-26,2.0,0.0,,,,,37.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
2,45524,KNA,North America,Saint Kitts and Nevis,2020-03-27,2.0,0.0,,,,,37.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
3,45525,KNA,North America,Saint Kitts and Nevis,2020-03-28,2.0,0.0,,,,,37.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
4,45526,KNA,North America,Saint Kitts and Nevis,2020-03-29,2.0,0.0,,,,,37.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
5,45527,KNA,North America,Saint Kitts and Nevis,2020-03-30,7.0,5.0,1.0,,,0.0,131.599,93.999,18.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
6,45528,KNA,North America,Saint Kitts and Nevis,2020-03-31,8.0,1.0,1.143,,,0.0,150.399,18.8,21.486,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
7,45529,KNA,North America,Saint Kitts and Nevis,2020-04-01,8.0,0.0,0.857,,,0.0,150.399,0.0,16.114,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
8,45530,KNA,North America,Saint Kitts and Nevis,2020-04-02,9.0,1.0,1.0,,,0.0,169.19799999999998,18.8,18.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
9,45531,KNA,North America,Saint Kitts and Nevis,2020-04-03,9.0,0.0,1.0,,,0.0,169.19799999999998,0.0,18.8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.778
