,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,45823,LCA,North America,Saint Lucia,2020-03-14,1.0,1.0,,,,,5.446000000000001,5.446000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
1,45824,LCA,North America,Saint Lucia,2020-03-15,2.0,1.0,,,,,10.892000000000001,5.446000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
2,45825,LCA,North America,Saint Lucia,2020-03-16,2.0,0.0,,,,,10.892000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
3,45826,LCA,North America,Saint Lucia,2020-03-17,2.0,0.0,,,,,10.892000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
4,45827,LCA,North America,Saint Lucia,2020-03-18,2.0,0.0,,,,,10.892000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
5,45828,LCA,North America,Saint Lucia,2020-03-19,2.0,0.0,0.28600000000000003,,,0.0,10.892000000000001,0.0,1.556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
6,45829,LCA,North America,Saint Lucia,2020-03-20,2.0,0.0,0.28600000000000003,,,0.0,10.892000000000001,0.0,1.556,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
7,45830,LCA,North America,Saint Lucia,2020-03-21,2.0,0.0,0.14300000000000002,,,0.0,10.892000000000001,0.0,0.778,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
8,45831,LCA,North America,Saint Lucia,2020-03-22,2.0,0.0,0.0,,,0.0,10.892000000000001,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
9,45832,LCA,North America,Saint Lucia,2020-03-23,3.0,1.0,0.14300000000000002,,,0.0,16.337,5.446000000000001,0.778,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
10,45833,LCA,North America,Saint Lucia,2020-03-24,3.0,0.0,0.14300000000000002,,,0.0,16.337,0.0,0.778,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
11,45834,LCA,North America,Saint Lucia,2020-03-25,3.0,0.0,0.14300000000000002,,,0.0,16.337,0.0,0.778,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
12,45835,LCA,North America,Saint Lucia,2020-03-26,3.0,0.0,0.14300000000000002,,,0.0,16.337,0.0,0.778,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
