,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,46135,VCT,North America,Saint Vincent and the Grenadines,2020-03-14,1.0,1.0,,,,,9.013,9.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
1,46136,VCT,North America,Saint Vincent and the Grenadines,2020-03-15,1.0,0.0,,,,,9.013,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
2,46137,VCT,North America,Saint Vincent and the Grenadines,2020-03-16,1.0,0.0,,,,,9.013,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
3,46138,VCT,North America,Saint Vincent and the Grenadines,2020-03-17,1.0,0.0,,,,,9.013,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
4,46139,VCT,North America,Saint Vincent and the Grenadines,2020-03-18,1.0,0.0,,,,,9.013,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
5,46140,VCT,North America,Saint Vincent and the Grenadines,2020-03-19,1.0,0.0,0.14300000000000002,,,0.0,9.013,0.0,1.288,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
6,46141,VCT,North America,Saint Vincent and the Grenadines,2020-03-20,1.0,0.0,0.14300000000000002,,,0.0,9.013,0.0,1.288,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
7,46142,VCT,North America,Saint Vincent and the Grenadines,2020-03-21,1.0,0.0,0.0,,,0.0,9.013,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
8,46143,VCT,North America,Saint Vincent and the Grenadines,2020-03-22,1.0,0.0,0.0,,,0.0,9.013,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
9,46144,VCT,North America,Saint Vincent and the Grenadines,2020-03-23,1.0,0.0,0.0,,,0.0,9.013,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.723
