,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,46838,STP,Africa,Sao Tome and Principe,2020-04-06,4.0,4.0,,,,,18.250999999999998,18.250999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
1,46839,STP,Africa,Sao Tome and Principe,2020-04-07,4.0,0.0,,,,,18.250999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
2,46840,STP,Africa,Sao Tome and Principe,2020-04-08,4.0,0.0,,,,,18.250999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
3,46841,STP,Africa,Sao Tome and Principe,2020-04-09,4.0,0.0,,,,,18.250999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
4,46842,STP,Africa,Sao Tome and Principe,2020-04-10,4.0,0.0,,,,,18.250999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
5,46843,STP,Africa,Sao Tome and Principe,2020-04-11,4.0,0.0,0.5710000000000001,,,0.0,18.250999999999998,0.0,2.6069999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
6,46844,STP,Africa,Sao Tome and Principe,2020-04-12,4.0,0.0,0.5710000000000001,,,0.0,18.250999999999998,0.0,2.6069999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
7,46845,STP,Africa,Sao Tome and Principe,2020-04-13,4.0,0.0,0.0,,,0.0,18.250999999999998,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
8,46846,STP,Africa,Sao Tome and Principe,2020-04-14,4.0,0.0,0.0,,,0.0,18.250999999999998,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
9,46847,STP,Africa,Sao Tome and Principe,2020-04-15,4.0,0.0,0.0,,,0.0,18.250999999999998,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,,,41.34,2.9,70.39,0.589
