,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,47778,SRB,Europe,Serbia,2020-02-26,,,,,,,,,,,,,,,,,,,,,,16.0,,0.002,,,,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
1,47779,SRB,Europe,Serbia,2020-02-27,,,,,,,,,,,,,,,,,,,,,,25.0,9.0,0.004,0.001,,,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
2,47780,SRB,Europe,Serbia,2020-02-28,,,,,,,,,,,,,,,,,,,,,,30.0,5.0,0.004,0.001,,,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
3,47781,SRB,Europe,Serbia,2020-02-29,,,,,,,,,,,,,,,,,,,,,,33.0,3.0,0.005,0.0,,,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
4,47782,SRB,Europe,Serbia,2020-03-01,,,,,,,,,,,,,,,,,,,,,,36.0,3.0,0.005,0.0,,,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
5,47783,SRB,Europe,Serbia,2020-03-02,,,,,,,,,,,,,,,,,,,,,,45.0,9.0,0.006999999999999999,0.001,,,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
6,47784,SRB,Europe,Serbia,2020-03-03,,,,,,,,,,,,,,,,,,,,,,46.0,1.0,0.006999999999999999,0.0,,,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
7,47785,SRB,Europe,Serbia,2020-03-04,,,,,,,,,,,,,,,,,,,,,,50.0,4.0,0.006999999999999999,0.001,5.0,0.001,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
8,47786,SRB,Europe,Serbia,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.001,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
9,47787,SRB,Europe,Serbia,2020-03-06,1.0,1.0,,,,,0.147,0.147,,,,,,,,,,,,,,67.0,,0.01,,5.0,0.001,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
10,47788,SRB,Europe,Serbia,2020-03-07,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,91.0,24.0,0.013000000000000001,0.004,8.0,0.001,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
11,47789,SRB,Europe,Serbia,2020-03-08,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,94.0,3.0,0.013999999999999999,0.0,8.0,0.001,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
12,47790,SRB,Europe,Serbia,2020-03-09,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,101.0,7.0,0.015,0.001,8.0,0.001,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
13,47791,SRB,Europe,Serbia,2020-03-10,5.0,4.0,,,,,0.735,0.588,,,,,,,,,,,,,,117.0,16.0,0.017,0.002,10.0,0.001,,,people tested,,,,,,13.89,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.787
