,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,48107,SYC,Africa,Seychelles,2020-03-14,2.0,2.0,,,,,20.338,20.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
1,48108,SYC,Africa,Seychelles,2020-03-15,2.0,0.0,,,,,20.338,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
2,48109,SYC,Africa,Seychelles,2020-03-16,3.0,1.0,,,,,30.506,10.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
3,48110,SYC,Africa,Seychelles,2020-03-17,4.0,1.0,,,,,40.675,10.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
4,48111,SYC,Africa,Seychelles,2020-03-18,4.0,0.0,,,,,40.675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
5,48112,SYC,Africa,Seychelles,2020-03-19,6.0,2.0,0.857,,,0.0,61.013000000000005,20.338,8.716000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
6,48113,SYC,Africa,Seychelles,2020-03-20,7.0,1.0,1.0,,,0.0,71.182,10.169,10.169,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
7,48114,SYC,Africa,Seychelles,2020-03-21,7.0,0.0,0.7140000000000001,,,0.0,71.182,0.0,7.263,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,34.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
8,48115,SYC,Africa,Seychelles,2020-03-22,7.0,0.0,0.7140000000000001,,,0.0,71.182,0.0,7.263,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,39.81,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
9,48116,SYC,Africa,Seychelles,2020-03-23,7.0,0.0,0.5710000000000001,,,0.0,71.182,0.0,5.811,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
10,48117,SYC,Africa,Seychelles,2020-03-24,7.0,0.0,0.429,,,0.0,71.182,0.0,4.3580000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
11,48118,SYC,Africa,Seychelles,2020-03-25,7.0,0.0,0.429,,,0.0,71.182,0.0,4.3580000000000005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
12,48119,SYC,Africa,Seychelles,2020-03-26,7.0,0.0,0.14300000000000002,,,0.0,71.182,0.0,1.453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
13,48120,SYC,Africa,Seychelles,2020-03-27,7.0,0.0,0.0,,,0.0,71.182,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
14,48121,SYC,Africa,Seychelles,2020-03-28,8.0,1.0,0.14300000000000002,,,0.0,81.35,10.169,1.453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
15,48122,SYC,Africa,Seychelles,2020-03-29,8.0,0.0,0.14300000000000002,,,0.0,81.35,0.0,1.453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.67,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.797
