,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,48419,SLE,Africa,Sierra Leone,2020-03-31,1.0,1.0,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
1,48420,SLE,Africa,Sierra Leone,2020-04-01,2.0,1.0,,,,,0.251,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
2,48421,SLE,Africa,Sierra Leone,2020-04-02,2.0,0.0,,,,,0.251,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
3,48422,SLE,Africa,Sierra Leone,2020-04-03,2.0,0.0,,,,,0.251,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
4,48423,SLE,Africa,Sierra Leone,2020-04-04,4.0,2.0,,,,,0.501,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
5,48424,SLE,Africa,Sierra Leone,2020-04-05,6.0,2.0,0.857,,,0.0,0.752,0.251,0.107,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
6,48425,SLE,Africa,Sierra Leone,2020-04-06,6.0,0.0,0.857,,,0.0,0.752,0.0,0.107,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
7,48426,SLE,Africa,Sierra Leone,2020-04-07,6.0,0.0,0.7140000000000001,,,0.0,0.752,0.0,0.09,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,88.89,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
8,48427,SLE,Africa,Sierra Leone,2020-04-08,7.0,1.0,0.7140000000000001,,,0.0,0.878,0.125,0.09,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
9,48428,SLE,Africa,Sierra Leone,2020-04-09,7.0,0.0,0.7140000000000001,,,0.0,0.878,0.0,0.09,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
10,48429,SLE,Africa,Sierra Leone,2020-04-10,8.0,1.0,0.857,,,0.0,1.003,0.125,0.107,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
11,48430,SLE,Africa,Sierra Leone,2020-04-11,8.0,0.0,0.5710000000000001,,,0.0,1.003,0.0,0.07200000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
12,48431,SLE,Africa,Sierra Leone,2020-04-12,10.0,2.0,0.5710000000000001,,,0.0,1.254,0.251,0.07200000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
13,48432,SLE,Africa,Sierra Leone,2020-04-13,10.0,0.0,0.5710000000000001,,,0.0,1.254,0.0,0.07200000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
14,48433,SLE,Africa,Sierra Leone,2020-04-14,11.0,1.0,0.7140000000000001,,,0.0,1.379,0.125,0.09,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
15,48434,SLE,Africa,Sierra Leone,2020-04-15,13.0,2.0,0.857,,,0.0,1.63,0.251,0.107,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
16,48435,SLE,Africa,Sierra Leone,2020-04-16,15.0,2.0,1.143,,,0.0,1.88,0.251,0.14300000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
17,48436,SLE,Africa,Sierra Leone,2020-04-17,26.0,11.0,2.571,,,0.0,3.259,1.379,0.322,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.93,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
18,48437,SLE,Africa,Sierra Leone,2020-04-18,30.0,4.0,3.1430000000000002,,,0.0,3.761,0.501,0.39399999999999996,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,81.48,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.419
