,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,49397,SVN,Europe,Slovenia,2020-02-02,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.001,0.001,,,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
1,49398,SVN,Europe,Slovenia,2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
2,49399,SVN,Europe,Slovenia,2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
3,49400,SVN,Europe,Slovenia,2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
4,49401,SVN,Europe,Slovenia,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
5,49402,SVN,Europe,Slovenia,2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
6,49403,SVN,Europe,Slovenia,2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
7,49404,SVN,Europe,Slovenia,2020-02-09,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,0.004,0.003,1.0,0.0,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
8,49405,SVN,Europe,Slovenia,2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
9,49406,SVN,Europe,Slovenia,2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
10,49407,SVN,Europe,Slovenia,2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
11,49408,SVN,Europe,Slovenia,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
12,49409,SVN,Europe,Slovenia,2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,tests performed,,,,,,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.8959999999999999
