,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,49750,SLB,Oceania,Solomon Islands,2020-10-12,2.0,2.0,,,,,2.912,2.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
1,49751,SLB,Oceania,Solomon Islands,2020-10-13,2.0,0.0,,,,,2.912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
2,49752,SLB,Oceania,Solomon Islands,2020-10-14,2.0,0.0,,,,,2.912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
3,49753,SLB,Oceania,Solomon Islands,2020-10-15,3.0,1.0,,,,,4.368,1.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
4,49754,SLB,Oceania,Solomon Islands,2020-10-16,3.0,0.0,,,,,4.368,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
5,49755,SLB,Oceania,Solomon Islands,2020-10-17,3.0,0.0,0.429,,,0.0,4.368,0.0,0.624,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
6,49756,SLB,Oceania,Solomon Islands,2020-10-18,3.0,0.0,0.429,,,0.0,4.368,0.0,0.624,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
7,49757,SLB,Oceania,Solomon Islands,2020-10-19,3.0,0.0,0.14300000000000002,,,0.0,4.368,0.0,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
8,49758,SLB,Oceania,Solomon Islands,2020-10-20,3.0,0.0,0.14300000000000002,,,0.0,4.368,0.0,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
9,49759,SLB,Oceania,Solomon Islands,2020-10-21,3.0,0.0,0.14300000000000002,,,0.0,4.368,0.0,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
10,49760,SLB,Oceania,Solomon Islands,2020-10-22,4.0,1.0,0.14300000000000002,,,0.0,5.8229999999999995,1.456,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
11,49761,SLB,Oceania,Solomon Islands,2020-10-23,4.0,0.0,0.14300000000000002,,,0.0,5.8229999999999995,0.0,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
12,49762,SLB,Oceania,Solomon Islands,2020-10-24,4.0,0.0,0.14300000000000002,,,0.0,5.8229999999999995,0.0,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
13,49763,SLB,Oceania,Solomon Islands,2020-10-25,4.0,0.0,0.14300000000000002,,,0.0,5.8229999999999995,0.0,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
14,49764,SLB,Oceania,Solomon Islands,2020-10-26,4.0,0.0,0.14300000000000002,,,0.0,5.8229999999999995,0.0,0.20800000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
15,49765,SLB,Oceania,Solomon Islands,2020-10-27,8.0,4.0,0.7140000000000001,,,0.0,11.647,5.8229999999999995,1.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
16,49766,SLB,Oceania,Solomon Islands,2020-10-28,8.0,0.0,0.7140000000000001,,,0.0,11.647,0.0,1.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.546
