,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,50160,ZAF,Africa,South Africa,2020-02-07,,,,,,,,,,,,,,,,,,,,,,42.0,,0.001,,,,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
1,50161,ZAF,Africa,South Africa,2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
2,50162,ZAF,Africa,South Africa,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
3,50163,ZAF,Africa,South Africa,2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
4,50164,ZAF,Africa,South Africa,2020-02-11,,,,,,,,,,,,,,,,,,,,,,61.0,,0.001,,,,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
5,50165,ZAF,Africa,South Africa,2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
6,50166,ZAF,Africa,South Africa,2020-02-13,,,,,,,,,,,,,,,,,,,,,,67.0,,0.001,,,,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
7,50167,ZAF,Africa,South Africa,2020-02-14,,,,,,,,,,,,,,,,,,,,,,71.0,4.0,0.001,0.0,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
8,50168,ZAF,Africa,South Africa,2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
9,50169,ZAF,Africa,South Africa,2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
10,50170,ZAF,Africa,South Africa,2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
11,50171,ZAF,Africa,South Africa,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
12,50172,ZAF,Africa,South Africa,2020-02-19,,,,,,,,,,,,,,,,,,,,,,95.0,,0.002,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
13,50173,ZAF,Africa,South Africa,2020-02-20,,,,,,,,,,,,,,,,,,,,,,106.0,11.0,0.002,0.0,6.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
14,50174,ZAF,Africa,South Africa,2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
15,50175,ZAF,Africa,South Africa,2020-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
16,50176,ZAF,Africa,South Africa,2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
17,50177,ZAF,Africa,South Africa,2020-02-24,,,,,,,,,,,,,,,,,,,,,,116.0,,0.002,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
18,50178,ZAF,Africa,South Africa,2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
19,50179,ZAF,Africa,South Africa,2020-02-26,,,,,,,,,,,,,,,,,,,,,,121.0,,0.002,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
20,50180,ZAF,Africa,South Africa,2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
21,50181,ZAF,Africa,South Africa,2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
22,50182,ZAF,Africa,South Africa,2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
23,50183,ZAF,Africa,South Africa,2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
24,50184,ZAF,Africa,South Africa,2020-03-02,,,,,,,,,,,,,,,,,,,,,,160.0,,0.003,,6.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
25,50185,ZAF,Africa,South Africa,2020-03-03,,,,,,,,,,,,,,,,,,,,,,164.0,4.0,0.003,0.0,6.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
26,50186,ZAF,Africa,South Africa,2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,,people tested,,,,,,2.78,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
27,50187,ZAF,Africa,South Africa,2020-03-05,1.0,1.0,,,,,0.017,0.017,,,,,,,,,,,,,,,,,,8.0,0.0,,,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
28,50188,ZAF,Africa,South Africa,2020-03-06,1.0,0.0,,,,,0.017,0.0,,,,,,,,,,,,,,200.0,,0.003,,9.0,0.0,,,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
29,50189,ZAF,Africa,South Africa,2020-03-07,1.0,0.0,,,,,0.017,0.0,,,,,,,,,,,,,,241.0,41.0,0.004,0.001,14.0,0.0,,,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
30,50190,ZAF,Africa,South Africa,2020-03-08,3.0,2.0,,,,,0.051,0.034,,,,,,,,,,,,,,,,,,27.0,0.0,,,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
31,50191,ZAF,Africa,South Africa,2020-03-09,3.0,0.0,,,,,0.051,0.0,,,,,,,,,,,,,,,,,,40.0,0.001,,,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
32,50192,ZAF,Africa,South Africa,2020-03-10,7.0,4.0,1.0,,,0.0,0.11800000000000001,0.067,0.017,,,0.0,,,,,,,,,,,,,,54.0,0.001,0.019,54.0,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
33,50193,ZAF,Africa,South Africa,2020-03-11,13.0,6.0,1.857,,,0.0,0.21899999999999997,0.10099999999999999,0.031,,,0.0,,,,,,,,,,645.0,,0.011000000000000001,,67.0,0.001,0.027999999999999997,36.1,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
34,50194,ZAF,Africa,South Africa,2020-03-12,17.0,4.0,2.286,,,0.0,0.287,0.067,0.039,,,0.0,,,,,,,,,,848.0,203.0,0.013999999999999999,0.003,94.0,0.002,0.024,41.1,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
35,50195,ZAF,Africa,South Africa,2020-03-13,24.0,7.0,3.286,,,0.0,0.405,0.11800000000000001,0.055,,,0.0,,,,,,,,,,924.0,76.0,0.016,0.001,103.0,0.002,0.032,31.3,people tested,,,,,,13.89,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.6990000000000001
