,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,51163,ESP,Europe,Spain,2020-02-01,1.0,1.0,,,,,0.021,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
1,51164,ESP,Europe,Spain,2020-02-02,1.0,0.0,,,,,0.021,0.0,,,,,,,,,,2.988,0.064,20.918000000000003,0.447,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
2,51165,ESP,Europe,Spain,2020-02-03,1.0,0.0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
3,51166,ESP,Europe,Spain,2020-02-04,1.0,0.0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
4,51167,ESP,Europe,Spain,2020-02-05,1.0,0.0,,,,,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
5,51168,ESP,Europe,Spain,2020-02-06,1.0,0.0,0.14300000000000002,,,0.0,0.021,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
6,51169,ESP,Europe,Spain,2020-02-07,1.0,0.0,0.14300000000000002,,,0.0,0.021,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
7,51170,ESP,Europe,Spain,2020-02-08,1.0,0.0,0.0,,,0.0,0.021,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
8,51171,ESP,Europe,Spain,2020-02-09,2.0,1.0,0.14300000000000002,,,0.0,0.043,0.021,0.003,,,0.0,,,,,,6.973,0.149,40.841,0.8740000000000001,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
9,51172,ESP,Europe,Spain,2020-02-10,2.0,0.0,0.14300000000000002,,,0.0,0.043,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.11,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
