,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,51517,LKA,Asia,Sri Lanka,2020-01-27,1.0,1.0,,,,,0.047,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
1,51518,LKA,Asia,Sri Lanka,2020-01-28,1.0,0.0,,,,,0.047,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
2,51519,LKA,Asia,Sri Lanka,2020-01-29,1.0,0.0,,,,,0.047,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
3,51520,LKA,Asia,Sri Lanka,2020-01-30,1.0,0.0,,,,,0.047,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
4,51521,LKA,Asia,Sri Lanka,2020-01-31,1.0,0.0,,,,,0.047,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
5,51522,LKA,Asia,Sri Lanka,2020-02-01,1.0,0.0,0.14300000000000002,,,0.0,0.047,0.0,0.006999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
6,51523,LKA,Asia,Sri Lanka,2020-02-02,1.0,0.0,0.14300000000000002,,,0.0,0.047,0.0,0.006999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
7,51524,LKA,Asia,Sri Lanka,2020-02-03,1.0,0.0,0.0,,,0.0,0.047,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
8,51525,LKA,Asia,Sri Lanka,2020-02-04,1.0,0.0,0.0,,,0.0,0.047,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
9,51526,LKA,Asia,Sri Lanka,2020-02-05,1.0,0.0,0.0,,,0.0,0.047,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.33,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
