,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,52501,SWE,Europe,Sweden,2020-02-01,1.0,1.0,,,,,0.099,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
1,52502,SWE,Europe,Sweden,2020-02-02,1.0,0.0,,,,,0.099,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
2,52503,SWE,Europe,Sweden,2020-02-03,1.0,0.0,,,,,0.099,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
3,52504,SWE,Europe,Sweden,2020-02-04,1.0,0.0,,,,,0.099,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
4,52505,SWE,Europe,Sweden,2020-02-05,1.0,0.0,,,,,0.099,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
5,52506,SWE,Europe,Sweden,2020-02-06,1.0,0.0,0.14300000000000002,,,0.0,0.099,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
6,52507,SWE,Europe,Sweden,2020-02-07,1.0,0.0,0.14300000000000002,,,0.0,0.099,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
7,52508,SWE,Europe,Sweden,2020-02-08,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
8,52509,SWE,Europe,Sweden,2020-02-09,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
9,52510,SWE,Europe,Sweden,2020-02-10,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
10,52511,SWE,Europe,Sweden,2020-02-11,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
11,52512,SWE,Europe,Sweden,2020-02-12,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
12,52513,SWE,Europe,Sweden,2020-02-13,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
13,52514,SWE,Europe,Sweden,2020-02-14,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
14,52515,SWE,Europe,Sweden,2020-02-15,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
15,52516,SWE,Europe,Sweden,2020-02-16,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
16,52517,SWE,Europe,Sweden,2020-02-17,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
17,52518,SWE,Europe,Sweden,2020-02-18,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
18,52519,SWE,Europe,Sweden,2020-02-19,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
19,52520,SWE,Europe,Sweden,2020-02-20,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
20,52521,SWE,Europe,Sweden,2020-02-21,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
21,52522,SWE,Europe,Sweden,2020-02-22,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
22,52523,SWE,Europe,Sweden,2020-02-23,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
23,52524,SWE,Europe,Sweden,2020-02-24,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
24,52525,SWE,Europe,Sweden,2020-02-25,1.0,0.0,0.0,,,0.0,0.099,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
25,52526,SWE,Europe,Sweden,2020-02-26,2.0,1.0,0.14300000000000002,,,0.0,0.198,0.099,0.013999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
26,52527,SWE,Europe,Sweden,2020-02-27,3.0,1.0,0.28600000000000003,,,0.0,0.297,0.099,0.027999999999999997,,,0.0,,0.0,0.0,1.0,0.099,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
27,52528,SWE,Europe,Sweden,2020-02-28,11.0,8.0,1.429,,,0.0,1.089,0.792,0.141,,,0.0,,0.0,0.0,1.0,0.099,,,,,,,,,,,,,,,,,,,0.0,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.9329999999999999
