,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,52855,CHE,Europe,Switzerland,2020-01-24,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,,,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
1,52856,CHE,Europe,Switzerland,2020-01-25,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,0.001,0.0,,,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
2,52857,CHE,Europe,Switzerland,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
3,52858,CHE,Europe,Switzerland,2020-01-27,,,,,,,,,,,,,,,,,,,,,,20.0,13.0,0.002,0.002,,,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
4,52859,CHE,Europe,Switzerland,2020-01-28,,,,,,,,,,,,,,,,,,,,,,36.0,16.0,0.004,0.002,,,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
5,52860,CHE,Europe,Switzerland,2020-01-29,,,,,,,,,,,,,,,,,,,,,,65.0,29.0,0.008,0.003,,,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
6,52861,CHE,Europe,Switzerland,2020-01-30,,,,,,,,,,,,,,,,,,,,,,105.0,40.0,0.012,0.005,,,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
7,52862,CHE,Europe,Switzerland,2020-01-31,,,,,,,,,,,,,,,,,,,,,,137.0,32.0,0.016,0.004,19.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
8,52863,CHE,Europe,Switzerland,2020-02-01,,,,,,,,,,,,,,,,,,,,,,156.0,19.0,0.018000000000000002,0.002,21.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
9,52864,CHE,Europe,Switzerland,2020-02-02,,,,,,,,,,,,,,,,,,,,,,167.0,11.0,0.019,0.001,22.0,0.003,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
10,52865,CHE,Europe,Switzerland,2020-02-03,,,,,,,,,,,,,,,,,,,,,,181.0,14.0,0.021,0.002,23.0,0.003,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
11,52866,CHE,Europe,Switzerland,2020-02-04,,,,,,,,,,,,,,,,,,,,,,207.0,26.0,0.024,0.003,24.0,0.003,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
12,52867,CHE,Europe,Switzerland,2020-02-05,,,,,,,,,,,,,,,,,,,,,,235.0,28.0,0.027000000000000003,0.003,24.0,0.003,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
13,52868,CHE,Europe,Switzerland,2020-02-06,,,,,,,,,,,,,,,,,,,,,,248.0,13.0,0.028999999999999998,0.002,20.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
14,52869,CHE,Europe,Switzerland,2020-02-07,,,,,,,,,,,,,,,,,,,,,,263.0,15.0,0.03,0.002,18.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
15,52870,CHE,Europe,Switzerland,2020-02-08,,,,,,,,,,,,,,,,,,,,,,270.0,7.0,0.031,0.001,16.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
16,52871,CHE,Europe,Switzerland,2020-02-09,,,,,,,,,,,,,,,,,,,,,,279.0,9.0,0.032,0.001,16.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
17,52872,CHE,Europe,Switzerland,2020-02-10,,,,,,,,,,,,,,,,,,,,,,292.0,13.0,0.034,0.002,16.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
18,52873,CHE,Europe,Switzerland,2020-02-11,,,,,,,,,,,,,,,,,,,,,,314.0,22.0,0.036000000000000004,0.003,15.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
19,52874,CHE,Europe,Switzerland,2020-02-12,,,,,,,,,,,,,,,,,,,,,,334.0,20.0,0.039,0.002,14.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
20,52875,CHE,Europe,Switzerland,2020-02-13,,,,,,,,,,,,,,,,,,,,,,341.0,7.0,0.039,0.001,13.0,0.002,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
21,52876,CHE,Europe,Switzerland,2020-02-14,,,,,,,,,,,,,,,,,,,,,,350.0,9.0,0.04,0.001,12.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
22,52877,CHE,Europe,Switzerland,2020-02-15,,,,,,,,,,,,,,,,,,,,,,355.0,5.0,0.040999999999999995,0.001,12.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
23,52878,CHE,Europe,Switzerland,2020-02-16,,,,,,,,,,,,,,,,,,,,,,360.0,5.0,0.042,0.001,12.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
24,52879,CHE,Europe,Switzerland,2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.001,,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
25,52880,CHE,Europe,Switzerland,2020-02-18,,,,,,,,,,,,,,,,,,,,,,369.0,9.0,0.043,0.001,8.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
26,52881,CHE,Europe,Switzerland,2020-02-19,,,,,,,,,,,,,,,,,,,,,,383.0,14.0,0.044000000000000004,0.002,7.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
27,52882,CHE,Europe,Switzerland,2020-02-20,,,,,,,,,,,,,,,,,,,,,,393.0,10.0,0.045,0.001,7.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
28,52883,CHE,Europe,Switzerland,2020-02-21,,,,,,,,,,,,,,,,,,,,,,406.0,13.0,0.047,0.002,8.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
29,52884,CHE,Europe,Switzerland,2020-02-22,,,,,,,,,,,,,,,,,,,,,,408.0,2.0,0.047,0.0,8.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
30,52885,CHE,Europe,Switzerland,2020-02-23,,,,,,,,,,,,,,,,,,,,,,413.0,5.0,0.048,0.001,8.0,0.001,0.0,,tests performed,,,,,,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78,0.9440000000000001
