,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,53521,TWN,Asia,Taiwan,2020-01-16,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,,,,,people tested,,,,,,8.33,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
1,53522,TWN,Asia,Taiwan,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,8.33,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
2,53523,TWN,Asia,Taiwan,2020-01-18,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,0.0,,,,,people tested,,,,,,8.33,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
3,53524,TWN,Asia,Taiwan,2020-01-19,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,,,,,people tested,,,,,,8.33,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
4,53525,TWN,Asia,Taiwan,2020-01-20,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,0.0,0.0,,,,,people tested,,,,,,13.89,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
5,53526,TWN,Asia,Taiwan,2020-01-21,,,,,,,,,,,,,,,,,,,,,,20.0,12.0,0.001,0.001,,,,,people tested,,,,,,13.89,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
6,53527,TWN,Asia,Taiwan,2020-01-22,1.0,,,,,,0.042,,,,,,,,,,,,,,,64.0,44.0,0.003,0.002,,,,,people tested,,,,,,13.89,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
7,53528,TWN,Asia,Taiwan,2020-01-23,1.0,0.0,,,,,0.042,0.0,,,,,,,,,,,,,,134.0,70.0,0.006,0.003,19.0,0.001,,,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
8,53529,TWN,Asia,Taiwan,2020-01-24,3.0,2.0,,,,,0.126,0.084,,,,,,,,,,,,,,191.0,57.0,0.008,0.002,27.0,0.001,,,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
9,53530,TWN,Asia,Taiwan,2020-01-25,3.0,0.0,,,,,0.126,0.0,,,,,,,,,,,,,,282.0,91.0,0.012,0.004,40.0,0.002,,,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
10,53531,TWN,Asia,Taiwan,2020-01-26,4.0,1.0,,,,,0.168,0.042,,,,,,,,,,,,,,399.0,117.0,0.017,0.005,56.0,0.002,,,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
11,53532,TWN,Asia,Taiwan,2020-01-27,5.0,1.0,,,,,0.21,0.042,,,,,,,,,,,,,,522.0,123.0,0.022000000000000002,0.005,73.0,0.003,,,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
12,53533,TWN,Asia,Taiwan,2020-01-28,8.0,3.0,1.0,,,0.0,0.336,0.126,0.042,,,0.0,,,,,,,,,,617.0,95.0,0.026000000000000002,0.004,85.0,0.004,0.012,85.0,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
13,53534,TWN,Asia,Taiwan,2020-01-29,8.0,0.0,1.0,,,0.0,0.336,0.0,0.042,,,0.0,,,,,,,,,,723.0,106.0,0.03,0.004,94.0,0.004,0.011000000000000001,94.0,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
14,53535,TWN,Asia,Taiwan,2020-01-30,9.0,1.0,1.143,,,0.0,0.37799999999999995,0.042,0.048,,,0.0,,,,,,,,,,823.0,100.0,0.035,0.004,98.0,0.004,0.012,85.7,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
15,53536,TWN,Asia,Taiwan,2020-01-31,10.0,1.0,1.0,,,0.0,0.42,0.042,0.042,,,0.0,,,,,,,,,,916.0,93.0,0.038,0.004,104.0,0.004,0.01,104.0,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
16,53537,TWN,Asia,Taiwan,2020-02-01,10.0,0.0,1.0,,,0.0,0.42,0.0,0.042,,,0.0,,,,,,,,,,1003.0,87.0,0.042,0.004,103.0,0.004,0.01,103.0,people tested,,,,,,19.44,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
17,53538,TWN,Asia,Taiwan,2020-02-02,10.0,0.0,0.857,,,0.0,0.42,0.0,0.036000000000000004,,,0.0,,,,,,,,,,1067.0,64.0,0.045,0.003,95.0,0.004,0.009000000000000001,110.9,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
18,53539,TWN,Asia,Taiwan,2020-02-03,10.0,0.0,0.7140000000000001,,,0.0,0.42,0.0,0.03,,,0.0,,,,,,,,,,1198.0,131.0,0.05,0.006,97.0,0.004,0.006999999999999999,135.9,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
19,53540,TWN,Asia,Taiwan,2020-02-04,11.0,1.0,0.429,,,0.0,0.462,0.042,0.018000000000000002,,,0.0,,,,,,,,,,1301.0,103.0,0.055,0.004,98.0,0.004,0.004,228.4,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
20,53541,TWN,Asia,Taiwan,2020-02-05,11.0,0.0,0.429,,,0.0,0.462,0.0,0.018000000000000002,,,0.0,,,,,,,,,,1458.0,157.0,0.061,0.006999999999999999,105.0,0.004,0.004,244.8,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
21,53542,TWN,Asia,Taiwan,2020-02-06,16.0,5.0,1.0,,,0.0,0.672,0.21,0.042,,,0.0,,,,,,,,,,1535.0,77.0,0.064,0.003,102.0,0.004,0.01,102.0,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
22,53543,TWN,Asia,Taiwan,2020-02-07,16.0,0.0,0.857,,,0.0,0.672,0.0,0.036000000000000004,,,0.0,,,,,,,,,,1734.0,199.0,0.073,0.008,117.0,0.005,0.006999999999999999,136.5,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
23,53544,TWN,Asia,Taiwan,2020-02-08,17.0,1.0,1.0,,,0.0,0.7140000000000001,0.042,0.042,,,0.0,,,,,,,,,,1959.0,225.0,0.08199999999999999,0.009000000000000001,137.0,0.006,0.006999999999999999,137.0,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
24,53545,TWN,Asia,Taiwan,2020-02-09,18.0,1.0,1.143,,,0.0,0.7559999999999999,0.042,0.048,,,0.0,,,,,,,,,,2087.0,128.0,0.08800000000000001,0.005,146.0,0.006,0.008,127.7,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
25,53546,TWN,Asia,Taiwan,2020-02-10,18.0,0.0,1.143,,,0.0,0.7559999999999999,0.0,0.048,,,0.0,,,,,,,,,,2292.0,205.0,0.096,0.009000000000000001,156.0,0.006999999999999999,0.006999999999999999,136.5,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
26,53547,TWN,Asia,Taiwan,2020-02-11,18.0,0.0,1.0,,,0.0,0.7559999999999999,0.0,0.042,,,0.0,,,,,,,,,,2460.0,168.0,0.10300000000000001,0.006999999999999999,166.0,0.006999999999999999,0.006,166.0,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
27,53548,TWN,Asia,Taiwan,2020-02-12,18.0,0.0,1.0,,,0.0,0.7559999999999999,0.0,0.042,,,0.0,,,,,,,,,,2588.0,128.0,0.109,0.005,161.0,0.006999999999999999,0.006,161.0,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
28,53549,TWN,Asia,Taiwan,2020-02-13,18.0,0.0,0.28600000000000003,,,0.0,0.7559999999999999,0.0,0.012,,,0.0,,,,,,,,,,2703.0,115.0,0.113,0.005,167.0,0.006999999999999999,0.002,583.9,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
29,53550,TWN,Asia,Taiwan,2020-02-14,18.0,0.0,0.28600000000000003,,,0.0,0.7559999999999999,0.0,0.012,,,0.0,,,,,,,,,,2775.0,72.0,0.11699999999999999,0.003,149.0,0.006,0.002,521.0,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
30,53551,TWN,Asia,Taiwan,2020-02-15,18.0,0.0,0.14300000000000002,,,0.0,0.7559999999999999,0.0,0.006,,,0.0,,,,,,,,,,2864.0,89.0,0.12,0.004,129.0,0.005,0.001,902.1,people tested,,,,,,30.56,23816775.0,,42.2,,8.353,,,103.95700000000001,,,,,,80.46,
