,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,54156,TZA,Africa,Tanzania,2020-03-16,1.0,1.0,,,,,0.017,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
1,54157,TZA,Africa,Tanzania,2020-03-17,1.0,0.0,,,,,0.017,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
2,54158,TZA,Africa,Tanzania,2020-03-18,3.0,2.0,,,,,0.05,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
3,54159,TZA,Africa,Tanzania,2020-03-19,6.0,3.0,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
4,54160,TZA,Africa,Tanzania,2020-03-20,6.0,0.0,,,,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
5,54161,TZA,Africa,Tanzania,2020-03-21,6.0,0.0,0.857,,,0.0,0.1,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
6,54162,TZA,Africa,Tanzania,2020-03-22,12.0,6.0,1.714,,,0.0,0.201,0.1,0.028999999999999998,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
7,54163,TZA,Africa,Tanzania,2020-03-23,12.0,0.0,1.571,,,0.0,0.201,0.0,0.026000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
8,54164,TZA,Africa,Tanzania,2020-03-24,12.0,0.0,1.571,,,0.0,0.201,0.0,0.026000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
9,54165,TZA,Africa,Tanzania,2020-03-25,12.0,0.0,1.286,,,0.0,0.201,0.0,0.022000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,36.11,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
10,54166,TZA,Africa,Tanzania,2020-03-26,13.0,1.0,1.0,,,0.0,0.218,0.017,0.017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,44.44,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
11,54167,TZA,Africa,Tanzania,2020-03-27,13.0,0.0,1.0,,,0.0,0.218,0.0,0.017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
12,54168,TZA,Africa,Tanzania,2020-03-28,14.0,1.0,1.143,,,0.0,0.23399999999999999,0.017,0.019,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
13,54169,TZA,Africa,Tanzania,2020-03-29,14.0,0.0,0.28600000000000003,,,0.0,0.23399999999999999,0.0,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
14,54170,TZA,Africa,Tanzania,2020-03-30,19.0,5.0,1.0,,,0.0,0.318,0.084,0.017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
15,54171,TZA,Africa,Tanzania,2020-03-31,19.0,0.0,1.0,1.0,1.0,0.14300000000000002,0.318,0.0,0.017,0.017,0.017,0.002,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
16,54172,TZA,Africa,Tanzania,2020-04-01,20.0,1.0,1.143,1.0,0.0,0.14300000000000002,0.335,0.017,0.019,0.017,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
17,54173,TZA,Africa,Tanzania,2020-04-02,20.0,0.0,1.0,1.0,0.0,0.14300000000000002,0.335,0.0,0.017,0.017,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
18,54174,TZA,Africa,Tanzania,2020-04-03,20.0,0.0,1.0,1.0,0.0,0.14300000000000002,0.335,0.0,0.017,0.017,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
19,54175,TZA,Africa,Tanzania,2020-04-04,20.0,0.0,0.857,1.0,0.0,0.14300000000000002,0.335,0.0,0.013999999999999999,0.017,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
20,54176,TZA,Africa,Tanzania,2020-04-05,22.0,2.0,1.143,1.0,0.0,0.14300000000000002,0.368,0.033,0.019,0.017,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
21,54177,TZA,Africa,Tanzania,2020-04-06,24.0,2.0,0.7140000000000001,1.0,0.0,0.14300000000000002,0.402,0.033,0.012,0.017,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
22,54178,TZA,Africa,Tanzania,2020-04-07,24.0,0.0,0.7140000000000001,1.0,0.0,0.0,0.402,0.0,0.012,0.017,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
23,54179,TZA,Africa,Tanzania,2020-04-08,25.0,1.0,0.7140000000000001,1.0,0.0,0.0,0.419,0.017,0.012,0.017,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
24,54180,TZA,Africa,Tanzania,2020-04-09,25.0,0.0,0.7140000000000001,1.0,0.0,0.0,0.419,0.0,0.012,0.017,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
25,54181,TZA,Africa,Tanzania,2020-04-10,32.0,7.0,1.714,3.0,2.0,0.28600000000000003,0.536,0.11699999999999999,0.028999999999999998,0.05,0.033,0.005,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
26,54182,TZA,Africa,Tanzania,2020-04-11,32.0,0.0,1.714,3.0,0.0,0.28600000000000003,0.536,0.0,0.028999999999999998,0.05,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,47.22,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
27,54183,TZA,Africa,Tanzania,2020-04-12,32.0,0.0,1.429,3.0,0.0,0.28600000000000003,0.536,0.0,0.024,0.05,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,50.0,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
28,54184,TZA,Africa,Tanzania,2020-04-13,49.0,17.0,3.571,3.0,0.0,0.28600000000000003,0.82,0.285,0.06,0.05,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,50.0,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
29,54185,TZA,Africa,Tanzania,2020-04-14,53.0,4.0,4.143,3.0,0.0,0.28600000000000003,0.887,0.067,0.069,0.05,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,50.0,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
30,54186,TZA,Africa,Tanzania,2020-04-15,88.0,35.0,9.0,4.0,1.0,0.429,1.473,0.586,0.151,0.067,0.017,0.006999999999999999,,,,,,,,,,,,,,,,,,,,,,,,50.0,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
31,54187,TZA,Africa,Tanzania,2020-04-16,94.0,6.0,9.857000000000001,4.0,0.0,0.429,1.574,0.1,0.165,0.067,0.0,0.006999999999999999,,,,,,,,,,,,,,,,,,,,,,,,50.0,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.28799999999998,5.75,3.3,26.7,47.953,0.7,65.46,0.5379999999999999
