,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,54848,TLS,Asia,Timor,2020-03-22,1.0,1.0,,,,,0.758,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
1,54849,TLS,Asia,Timor,2020-03-23,1.0,0.0,,,,,0.758,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
2,54850,TLS,Asia,Timor,2020-03-24,1.0,0.0,,,,,0.758,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
3,54851,TLS,Asia,Timor,2020-03-25,1.0,0.0,,,,,0.758,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
4,54852,TLS,Asia,Timor,2020-03-26,1.0,0.0,,,,,0.758,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
5,54853,TLS,Asia,Timor,2020-03-27,1.0,0.0,0.14300000000000002,,,0.0,0.758,0.0,0.10800000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
6,54854,TLS,Asia,Timor,2020-03-28,1.0,0.0,0.14300000000000002,,,0.0,0.758,0.0,0.10800000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
7,54855,TLS,Asia,Timor,2020-03-29,1.0,0.0,0.0,,,0.0,0.758,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
8,54856,TLS,Asia,Timor,2020-03-30,1.0,0.0,0.0,,,0.0,0.758,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
9,54857,TLS,Asia,Timor,2020-03-31,1.0,0.0,0.0,,,0.0,0.758,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
10,54858,TLS,Asia,Timor,2020-04-01,1.0,0.0,0.0,,,0.0,0.758,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,75.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.625
