,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,55152,TGO,Africa,Togo,2020-03-04,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,,,,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
1,55153,TGO,Africa,Togo,2020-03-05,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,0.0,,,,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
2,55154,TGO,Africa,Togo,2020-03-06,1.0,1.0,,,,,0.121,0.121,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
3,55155,TGO,Africa,Togo,2020-03-07,1.0,0.0,,,,,0.121,0.0,,,,,,,,,,,,,,5.0,1.0,0.001,0.0,,,,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
4,55156,TGO,Africa,Togo,2020-03-08,1.0,0.0,,,,,0.121,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
5,55157,TGO,Africa,Togo,2020-03-09,1.0,0.0,,,,,0.121,0.0,,,,,,,,,,,,,,9.0,4.0,0.001,0.0,,,,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
6,55158,TGO,Africa,Togo,2020-03-10,1.0,0.0,,,,,0.121,0.0,,,,,,,,,,,,,,13.0,4.0,0.002,0.0,,,,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
7,55159,TGO,Africa,Togo,2020-03-11,1.0,0.0,0.14300000000000002,,,0.0,0.121,0.0,0.017,,,0.0,,,,,,,,,,,,,,2.0,0.0,0.07200000000000001,14.0,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
8,55160,TGO,Africa,Togo,2020-03-12,1.0,0.0,0.14300000000000002,,,0.0,0.121,0.0,0.017,,,0.0,,,,,,,,,,17.0,4.0,0.002,0.0,2.0,0.0,0.07200000000000001,14.0,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
9,55161,TGO,Africa,Togo,2020-03-13,1.0,0.0,0.0,,,0.0,0.121,0.0,0.0,,,0.0,,,,,,,,,,,,,,2.0,0.0,0.0,,tests performed,,,,,,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.503
