,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,55474,TTO,North America,Trinidad and Tobago,2020-03-14,2.0,2.0,,,,,1.429,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
1,55475,TTO,North America,Trinidad and Tobago,2020-03-15,2.0,0.0,,,,,1.429,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
2,55476,TTO,North America,Trinidad and Tobago,2020-03-16,4.0,2.0,,,,,2.858,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
3,55477,TTO,North America,Trinidad and Tobago,2020-03-17,5.0,1.0,,,,,3.573,0.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
4,55478,TTO,North America,Trinidad and Tobago,2020-03-18,7.0,2.0,,,,,5.002,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
5,55479,TTO,North America,Trinidad and Tobago,2020-03-19,9.0,2.0,1.286,,,0.0,6.431,1.429,0.919,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
6,55480,TTO,North America,Trinidad and Tobago,2020-03-20,9.0,0.0,1.286,,,0.0,6.431,0.0,0.919,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,49.07,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
7,55481,TTO,North America,Trinidad and Tobago,2020-03-21,49.0,40.0,6.7139999999999995,,,0.0,35.013000000000005,28.581999999999997,4.798,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,54.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
8,55482,TTO,North America,Trinidad and Tobago,2020-03-22,50.0,1.0,6.857,,,0.0,35.727,0.715,4.9,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,54.63,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
9,55483,TTO,North America,Trinidad and Tobago,2020-03-23,51.0,1.0,6.7139999999999995,,,0.0,36.442,0.715,4.798,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,60.19,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.784
