,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,56423,UGA,Africa,Uganda,2020-03-21,1.0,1.0,,,,,0.022000000000000002,0.022000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
1,56424,UGA,Africa,Uganda,2020-03-22,1.0,0.0,,,,,0.022000000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
2,56425,UGA,Africa,Uganda,2020-03-23,9.0,8.0,,,,,0.19699999999999998,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
3,56426,UGA,Africa,Uganda,2020-03-24,9.0,0.0,,,,,0.19699999999999998,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
4,56427,UGA,Africa,Uganda,2020-03-25,14.0,5.0,,,,,0.306,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
5,56428,UGA,Africa,Uganda,2020-03-26,14.0,0.0,2.0,,,0.0,0.306,0.0,0.044000000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
6,56429,UGA,Africa,Uganda,2020-03-27,23.0,9.0,3.286,,,0.0,0.503,0.19699999999999998,0.07200000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
7,56430,UGA,Africa,Uganda,2020-03-28,30.0,7.0,4.143,,,0.0,0.6559999999999999,0.153,0.091,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
8,56431,UGA,Africa,Uganda,2020-03-29,33.0,3.0,4.571000000000001,,,0.0,0.721,0.066,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,69.44,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
9,56432,UGA,Africa,Uganda,2020-03-30,33.0,0.0,3.429,,,0.0,0.721,0.0,0.075,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,93.52,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.221999999999998,0.5,63.37,0.516
