,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,57051,ARE,Asia,United Arab Emirates,2020-01-29,4.0,4.0,,,,,0.40399999999999997,0.40399999999999997,,,,,,,,,,,,,,75.0,75.0,0.008,0.008,,,,,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
1,57052,ARE,Asia,United Arab Emirates,2020-01-30,4.0,0.0,,,,,0.40399999999999997,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
2,57053,ARE,Asia,United Arab Emirates,2020-01-31,4.0,0.0,,,,,0.40399999999999997,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
3,57054,ARE,Asia,United Arab Emirates,2020-02-01,4.0,0.0,,,,,0.40399999999999997,0.0,,,,,,,,,,,,,,258.0,183.0,0.026000000000000002,0.019,,,,,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
4,57055,ARE,Asia,United Arab Emirates,2020-02-02,5.0,1.0,,,,,0.506,0.10099999999999999,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
5,57056,ARE,Asia,United Arab Emirates,2020-02-03,5.0,0.0,0.7140000000000001,,,0.0,0.506,0.0,0.07200000000000001,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
6,57057,ARE,Asia,United Arab Emirates,2020-02-04,5.0,0.0,0.7140000000000001,,,0.0,0.506,0.0,0.07200000000000001,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
7,57058,ARE,Asia,United Arab Emirates,2020-02-05,5.0,0.0,0.14300000000000002,,,0.0,0.506,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,73.0,0.006999999999999999,0.002,510.5,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
8,57059,ARE,Asia,United Arab Emirates,2020-02-06,5.0,0.0,0.14300000000000002,,,0.0,0.506,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,76.0,0.008,0.002,531.5,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
9,57060,ARE,Asia,United Arab Emirates,2020-02-07,5.0,0.0,0.14300000000000002,,,0.0,0.506,0.0,0.013999999999999999,,,0.0,,,,,,,,,,,,,,79.0,0.008,0.002,552.4,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
10,57061,ARE,Asia,United Arab Emirates,2020-02-08,7.0,2.0,0.429,,,0.0,0.708,0.20199999999999999,0.043,,,0.0,,,,,,,,,,832.0,574.0,0.084,0.057999999999999996,82.0,0.008,0.005,191.1,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
11,57062,ARE,Asia,United Arab Emirates,2020-02-09,7.0,0.0,0.28600000000000003,,,0.0,0.708,0.0,0.028999999999999998,,,0.0,,,,,,,,,,2192.0,1360.0,0.222,0.138,265.0,0.027000000000000003,0.001,926.6,tests performed,,,,,,2.78,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
