,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,58751,VUT,Oceania,Vanuatu,2020-11-10,1.0,1.0,,,,,3.2560000000000002,3.2560000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
1,58752,VUT,Oceania,Vanuatu,2020-11-11,1.0,0.0,,,,,3.2560000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
2,58753,VUT,Oceania,Vanuatu,2020-11-12,1.0,0.0,,,,,3.2560000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
3,58754,VUT,Oceania,Vanuatu,2020-11-13,1.0,0.0,,,,,3.2560000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
4,58755,VUT,Oceania,Vanuatu,2020-11-14,1.0,0.0,,,,,3.2560000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
5,58756,VUT,Oceania,Vanuatu,2020-11-15,1.0,0.0,0.14300000000000002,,,0.0,3.2560000000000002,0.0,0.465,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
6,58757,VUT,Oceania,Vanuatu,2020-11-16,1.0,0.0,0.14300000000000002,,,0.0,3.2560000000000002,0.0,0.465,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
7,58758,VUT,Oceania,Vanuatu,2020-11-17,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
8,58759,VUT,Oceania,Vanuatu,2020-11-18,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
9,58760,VUT,Oceania,Vanuatu,2020-11-19,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
10,58761,VUT,Oceania,Vanuatu,2020-11-20,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
11,58762,VUT,Oceania,Vanuatu,2020-11-21,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
12,58763,VUT,Oceania,Vanuatu,2020-11-22,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
13,58764,VUT,Oceania,Vanuatu,2020-11-23,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
14,58765,VUT,Oceania,Vanuatu,2020-11-24,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
15,58766,VUT,Oceania,Vanuatu,2020-11-25,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
16,58767,VUT,Oceania,Vanuatu,2020-11-26,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
17,58768,VUT,Oceania,Vanuatu,2020-11-27,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
18,58769,VUT,Oceania,Vanuatu,2020-11-28,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
19,58770,VUT,Oceania,Vanuatu,2020-11-29,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
20,58771,VUT,Oceania,Vanuatu,2020-11-30,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
21,58772,VUT,Oceania,Vanuatu,2020-12-01,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
22,58773,VUT,Oceania,Vanuatu,2020-12-02,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
23,58774,VUT,Oceania,Vanuatu,2020-12-03,1.0,0.0,0.0,,,0.0,3.2560000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,30.56,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.603
