,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,58822,VAT,Europe,Vatican,2020-03-06,1.0,1.0,,,,,1236.094,1236.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
1,58823,VAT,Europe,Vatican,2020-03-07,1.0,0.0,,,,,1236.094,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
2,58824,VAT,Europe,Vatican,2020-03-08,1.0,0.0,,,,,1236.094,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
3,58825,VAT,Europe,Vatican,2020-03-09,1.0,0.0,,,,,1236.094,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
4,58826,VAT,Europe,Vatican,2020-03-10,1.0,0.0,,,,,1236.094,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
5,58827,VAT,Europe,Vatican,2020-03-11,1.0,0.0,0.14300000000000002,,,0.0,1236.094,0.0,176.585,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
6,58828,VAT,Europe,Vatican,2020-03-12,1.0,0.0,0.14300000000000002,,,0.0,1236.094,0.0,176.585,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
7,58829,VAT,Europe,Vatican,2020-03-13,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
8,58830,VAT,Europe,Vatican,2020-03-14,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
9,58831,VAT,Europe,Vatican,2020-03-15,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
10,58832,VAT,Europe,Vatican,2020-03-16,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
11,58833,VAT,Europe,Vatican,2020-03-17,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
12,58834,VAT,Europe,Vatican,2020-03-18,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
13,58835,VAT,Europe,Vatican,2020-03-19,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
14,58836,VAT,Europe,Vatican,2020-03-20,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
15,58837,VAT,Europe,Vatican,2020-03-21,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
16,58838,VAT,Europe,Vatican,2020-03-22,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
17,58839,VAT,Europe,Vatican,2020-03-23,1.0,0.0,0.0,,,0.0,1236.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
18,58840,VAT,Europe,Vatican,2020-03-24,4.0,3.0,0.429,,,0.0,4944.376,3708.282,529.755,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
19,58841,VAT,Europe,Vatican,2020-03-25,4.0,0.0,0.429,,,0.0,4944.376,0.0,529.755,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
20,58842,VAT,Europe,Vatican,2020-03-26,4.0,0.0,0.429,,,0.0,4944.376,0.0,529.755,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
21,58843,VAT,Europe,Vatican,2020-03-27,4.0,0.0,0.429,,,0.0,4944.376,0.0,529.755,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
22,58844,VAT,Europe,Vatican,2020-03-28,6.0,2.0,0.7140000000000001,,,0.0,7416.564,2472.188,882.924,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
23,58845,VAT,Europe,Vatican,2020-03-29,6.0,0.0,0.7140000000000001,,,0.0,7416.564,0.0,882.924,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
24,58846,VAT,Europe,Vatican,2020-03-30,6.0,0.0,0.7140000000000001,,,0.0,7416.564,0.0,882.924,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
25,58847,VAT,Europe,Vatican,2020-03-31,6.0,0.0,0.28600000000000003,,,0.0,7416.564,0.0,353.17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
26,58848,VAT,Europe,Vatican,2020-04-01,6.0,0.0,0.28600000000000003,,,0.0,7416.564,0.0,353.17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
27,58849,VAT,Europe,Vatican,2020-04-02,7.0,1.0,0.429,,,0.0,8652.658000000001,1236.094,529.755,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
28,58850,VAT,Europe,Vatican,2020-04-03,7.0,0.0,0.429,,,0.0,8652.658000000001,0.0,529.755,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
29,58851,VAT,Europe,Vatican,2020-04-04,7.0,0.0,0.14300000000000002,,,0.0,8652.658000000001,0.0,176.585,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,,,75.12,
