,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,59142,VEN,South America,Venezuela,2020-03-14,2.0,2.0,,,,,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
1,59143,VEN,South America,Venezuela,2020-03-15,10.0,8.0,,,,,0.35200000000000004,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
2,59144,VEN,South America,Venezuela,2020-03-16,17.0,7.0,,,,,0.598,0.24600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
3,59145,VEN,South America,Venezuela,2020-03-17,33.0,16.0,,,,,1.161,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
4,59146,VEN,South America,Venezuela,2020-03-18,36.0,3.0,,,,,1.266,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
5,59147,VEN,South America,Venezuela,2020-03-19,42.0,6.0,6.0,,,0.0,1.4769999999999999,0.21100000000000002,0.21100000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
6,59148,VEN,South America,Venezuela,2020-03-20,42.0,0.0,6.0,,,0.0,1.4769999999999999,0.0,0.21100000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
7,59149,VEN,South America,Venezuela,2020-03-21,70.0,28.0,9.714,,,0.0,2.4619999999999997,0.985,0.342,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
8,59150,VEN,South America,Venezuela,2020-03-22,70.0,0.0,8.571,,,0.0,2.4619999999999997,0.0,0.301,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
9,59151,VEN,South America,Venezuela,2020-03-23,77.0,7.0,8.571,,,0.0,2.708,0.24600000000000002,0.301,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.41,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.7609999999999999
