,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,59817,OWID_WRL,,World,2020-01-22,557.0,0.0,,17.0,0.0,,0.071,0.0,,0.002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
1,59818,OWID_WRL,,World,2020-01-23,655.0,98.0,,18.0,1.0,,0.084,0.013000000000000001,,0.002,0.0,,3.14,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
2,59819,OWID_WRL,,World,2020-01-24,941.0,286.0,,26.0,8.0,,0.121,0.037000000000000005,,0.003,0.001,,3.27,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
3,59820,OWID_WRL,,World,2020-01-25,1433.0,492.0,,42.0,16.0,,0.184,0.063,,0.005,0.002,,3.4,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
4,59821,OWID_WRL,,World,2020-01-26,2118.0,685.0,,56.0,14.0,,0.272,0.08800000000000001,,0.006999999999999999,0.002,,3.45,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
5,59822,OWID_WRL,,World,2020-01-27,2927.0,809.0,,82.0,26.0,,0.376,0.10400000000000001,,0.011000000000000001,0.003,,3.46,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
6,59823,OWID_WRL,,World,2020-01-28,5578.0,2651.0,717.2860000000001,131.0,49.0,16.285999999999998,0.716,0.34,0.092,0.017,0.006,0.002,3.47,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
7,59824,OWID_WRL,,World,2020-01-29,6167.0,589.0,801.429,133.0,2.0,16.570999999999998,0.7909999999999999,0.076,0.10300000000000001,0.017,0.0,0.002,3.14,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
8,59825,OWID_WRL,,World,2020-01-30,8235.0,2068.0,1082.857,171.0,38.0,21.857,1.056,0.265,0.139,0.022000000000000002,0.005,0.003,2.97,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
9,59826,OWID_WRL,,World,2020-01-31,9927.0,1692.0,1283.714,213.0,42.0,26.714000000000002,1.274,0.217,0.165,0.027000000000000003,0.005,0.003,2.79,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
10,59827,OWID_WRL,,World,2020-02-01,12038.0,2111.0,1515.0,259.0,46.0,31.0,1.544,0.271,0.19399999999999998,0.033,0.006,0.004,2.66,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
11,59828,OWID_WRL,,World,2020-02-02,16787.0,4749.0,2095.571,362.0,103.0,43.714,2.154,0.609,0.26899999999999996,0.046,0.013000000000000001,0.006,2.56,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
12,59829,OWID_WRL,,World,2020-02-03,19887.0,3100.0,2422.857,426.0,64.0,49.143,2.551,0.39799999999999996,0.311,0.055,0.008,0.006,2.35,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
13,59830,OWID_WRL,,World,2020-02-04,23898.0,4011.0,2617.143,492.0,66.0,51.571000000000005,3.0660000000000003,0.515,0.336,0.063,0.008,0.006999999999999999,2.17,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
14,59831,OWID_WRL,,World,2020-02-05,27643.0,3745.0,3068.0,564.0,72.0,61.571000000000005,3.5460000000000003,0.48,0.39399999999999996,0.07200000000000001,0.009000000000000001,0.008,1.99,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
15,59832,OWID_WRL,,World,2020-02-06,30803.0,3160.0,3224.0,634.0,70.0,66.143,3.952,0.405,0.414,0.081,0.009000000000000001,0.008,1.83,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
16,59833,OWID_WRL,,World,2020-02-07,34396.0,3593.0,3495.571,719.0,85.0,72.286,4.413,0.461,0.44799999999999995,0.092,0.011000000000000001,0.009000000000000001,1.7,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
17,59834,OWID_WRL,,World,2020-02-08,37130.0,2734.0,3584.571,806.0,87.0,78.143,4.763,0.35100000000000003,0.46,0.10300000000000001,0.011000000000000001,0.01,1.59,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
18,59835,OWID_WRL,,World,2020-02-09,40160.0,3030.0,3339.0,906.0,100.0,77.714,5.152,0.389,0.428,0.11599999999999999,0.013000000000000001,0.01,1.52,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
19,59836,OWID_WRL,,World,2020-02-10,42769.0,2609.0,3268.857,1013.0,107.0,83.85700000000001,5.487,0.335,0.419,0.13,0.013999999999999999,0.011000000000000001,1.48,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
20,59837,OWID_WRL,,World,2020-02-11,44811.0,2042.0,2987.571,1113.0,100.0,88.714,5.749,0.262,0.38299999999999995,0.14300000000000002,0.013000000000000001,0.011000000000000001,1.47,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
21,59838,OWID_WRL,,World,2020-02-12,45229.0,418.0,2512.286,1118.0,5.0,79.143,5.8020000000000005,0.054000000000000006,0.322,0.14300000000000002,0.001,0.01,1.51,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
22,59839,OWID_WRL,,World,2020-02-13,60382.0,15153.0,4225.571,1371.0,253.0,105.286,7.746,1.944,0.542,0.17600000000000002,0.032,0.013999999999999999,1.65,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
23,59840,OWID_WRL,,World,2020-02-14,66909.0,6527.0,4644.714,1523.0,152.0,114.85700000000001,8.584,0.8370000000000001,0.596,0.195,0.02,0.015,1.43,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
24,59841,OWID_WRL,,World,2020-02-15,69052.0,2143.0,4560.286,1666.0,143.0,122.85700000000001,8.859,0.275,0.585,0.214,0.018000000000000002,0.016,1.21,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
25,59842,OWID_WRL,,World,2020-02-16,71235.0,2183.0,4439.286,1770.0,104.0,123.429,9.139,0.28,0.57,0.22699999999999998,0.013000000000000001,0.016,1.04,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
26,59843,OWID_WRL,,World,2020-02-17,73270.0,2035.0,4357.286,1868.0,98.0,122.14299999999999,9.4,0.261,0.5589999999999999,0.24,0.013000000000000001,0.016,0.91,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
27,59844,OWID_WRL,,World,2020-02-18,75152.0,1882.0,4334.429,2008.0,140.0,127.85700000000001,9.641,0.24100000000000002,0.556,0.258,0.018000000000000002,0.016,0.8,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
28,59845,OWID_WRL,,World,2020-02-19,75652.0,500.0,4346.143,2123.0,115.0,143.571,9.705,0.064,0.5579999999999999,0.272,0.015,0.018000000000000002,0.71,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
29,59846,OWID_WRL,,World,2020-02-20,76212.0,560.0,2261.429,2248.0,125.0,125.286,9.777000000000001,0.07200000000000001,0.29,0.28800000000000003,0.016,0.016,0.66,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
30,59847,OWID_WRL,,World,2020-02-21,76841.0,629.0,1418.8570000000002,2252.0,4.0,104.14299999999999,9.857999999999999,0.081,0.182,0.289,0.001,0.013000000000000001,0.64,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
31,59848,OWID_WRL,,World,2020-02-22,78602.0,1761.0,1364.286,2459.0,207.0,113.286,10.084,0.226,0.175,0.315,0.027000000000000003,0.015,0.65,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
32,59849,OWID_WRL,,World,2020-02-23,78982.0,380.0,1106.714,2470.0,11.0,100.0,10.133,0.049,0.142,0.317,0.001,0.013000000000000001,0.65,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
33,59850,OWID_WRL,,World,2020-02-24,79546.0,564.0,896.571,2630.0,160.0,108.85700000000001,10.205,0.07200000000000001,0.115,0.337,0.021,0.013999999999999999,0.68,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
34,59851,OWID_WRL,,World,2020-02-25,80399.0,853.0,749.571,2710.0,80.0,100.286,10.314,0.109,0.096,0.348,0.01,0.013000000000000001,0.74,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
35,59852,OWID_WRL,,World,2020-02-26,81376.0,977.0,817.7139999999999,2771.0,61.0,92.571,10.44,0.125,0.105,0.355,0.008,0.012,0.81,,,,,,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
