,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,60181,YEM,Asia,Yemen,2020-04-10,1.0,1.0,,,,,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
1,60182,YEM,Asia,Yemen,2020-04-11,1.0,0.0,,,,,0.034,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
2,60183,YEM,Asia,Yemen,2020-04-12,1.0,0.0,,,,,0.034,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
3,60184,YEM,Asia,Yemen,2020-04-13,1.0,0.0,,,,,0.034,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
4,60185,YEM,Asia,Yemen,2020-04-14,1.0,0.0,,,,,0.034,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
5,60186,YEM,Asia,Yemen,2020-04-15,1.0,0.0,0.14300000000000002,,,0.0,0.034,0.0,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
6,60187,YEM,Asia,Yemen,2020-04-16,1.0,0.0,0.14300000000000002,,,0.0,0.034,0.0,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
7,60188,YEM,Asia,Yemen,2020-04-17,1.0,0.0,0.0,,,0.0,0.034,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
8,60189,YEM,Asia,Yemen,2020-04-18,1.0,0.0,0.0,,,0.0,0.034,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
9,60190,YEM,Asia,Yemen,2020-04-19,1.0,0.0,0.0,,,0.0,0.034,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,40.74,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,18.8,495.00300000000004,5.35,7.6,29.2,49.542,0.7,66.12,0.452
