,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,60466,ZMB,Africa,Zambia,2020-03-18,2.0,2.0,,,,,0.109,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
1,60467,ZMB,Africa,Zambia,2020-03-19,2.0,0.0,,,,,0.109,0.0,,,,,,,,,,,,,,33.0,,0.002,,,,,,tests performed,,,,,,16.67,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
2,60468,ZMB,Africa,Zambia,2020-03-20,2.0,0.0,,,,,0.109,0.0,,,,,,,,,,,,,,58.0,25.0,0.003,0.001,,,,,tests performed,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
3,60469,ZMB,Africa,Zambia,2020-03-21,2.0,0.0,,,,,0.109,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
4,60470,ZMB,Africa,Zambia,2020-03-22,3.0,1.0,,,,,0.163,0.054000000000000006,,,,,,,,,,,,,,75.0,,0.004,,,,,,tests performed,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
5,60471,ZMB,Africa,Zambia,2020-03-23,3.0,0.0,0.429,,,0.0,0.163,0.0,0.023,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
6,60472,ZMB,Africa,Zambia,2020-03-24,3.0,0.0,0.429,,,0.0,0.163,0.0,0.023,,,0.0,,,,,,,,,,103.0,,0.006,,,,,,tests performed,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
7,60473,ZMB,Africa,Zambia,2020-03-25,12.0,9.0,1.429,,,0.0,0.653,0.49,0.078,,,0.0,,,,,,,,,,143.0,40.0,0.008,0.002,,,,,tests performed,,,,,,27.78,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
8,60474,ZMB,Africa,Zambia,2020-03-26,16.0,4.0,2.0,,,0.0,0.87,0.218,0.109,,,0.0,,,,,,,,,,197.0,54.0,0.011000000000000001,0.003,23.0,0.001,0.087,11.5,tests performed,,,,,,36.11,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
9,60475,ZMB,Africa,Zambia,2020-03-27,22.0,6.0,2.8569999999999998,,,0.0,1.197,0.326,0.155,,,0.0,,,,,,,,,,269.0,72.0,0.015,0.004,30.0,0.002,0.095,10.5,tests performed,,,,,,41.67,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
10,60476,ZMB,Africa,Zambia,2020-03-28,28.0,6.0,3.714,,,0.0,1.5230000000000001,0.326,0.20199999999999999,,,0.0,,,,,,,,,,350.0,81.0,0.019,0.004,40.0,0.002,0.09300000000000001,10.8,tests performed,,,,,,41.67,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
11,60477,ZMB,Africa,Zambia,2020-03-29,29.0,1.0,3.714,,,0.0,1.577,0.054000000000000006,0.20199999999999999,,,0.0,,,,,,,,,,400.0,50.0,0.022000000000000002,0.003,46.0,0.003,0.081,12.4,tests performed,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
12,60478,ZMB,Africa,Zambia,2020-03-30,35.0,6.0,4.571000000000001,,,0.0,1.9040000000000001,0.326,0.249,,,0.0,,,,,,,,,,475.0,75.0,0.026000000000000002,0.004,55.0,0.003,0.083,12.0,tests performed,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
13,60479,ZMB,Africa,Zambia,2020-03-31,35.0,0.0,4.571000000000001,,,0.0,1.9040000000000001,0.0,0.249,,,0.0,,,,,,,,,,520.0,45.0,0.027999999999999997,0.002,60.0,0.003,0.076,13.1,tests performed,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
14,60480,ZMB,Africa,Zambia,2020-04-01,36.0,1.0,3.429,,,0.0,1.9580000000000002,0.054000000000000006,0.18600000000000003,,,0.0,,,,,,,,,,640.0,120.0,0.035,0.006999999999999999,71.0,0.004,0.048,20.7,tests performed,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
15,60481,ZMB,Africa,Zambia,2020-04-02,39.0,3.0,3.286,1.0,1.0,0.14300000000000002,2.121,0.163,0.179,0.054000000000000006,0.054000000000000006,0.008,,,,,,,,,,856.0,216.0,0.047,0.012,94.0,0.005,0.035,28.6,tests performed,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
16,60482,ZMB,Africa,Zambia,2020-04-03,39.0,0.0,2.4290000000000003,1.0,0.0,0.14300000000000002,2.121,0.0,0.132,0.054000000000000006,0.0,0.008,,,,,,,,,,,,,,88.0,0.005,0.027999999999999997,36.2,tests performed,,,,,,47.22,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,57.5,234.49900000000002,3.94,3.1,24.7,13.937999999999999,2.0,63.89,0.588
