location,iso_code,continent,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Poland,POL,Europe,2020-03-04,1.0,1.0,,,,,0.026000000000000002,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-05,1.0,0.0,,,,,0.026000000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-06,5.0,4.0,,,,,0.132,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-07,5.0,0.0,,,,,0.132,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-08,11.0,6.0,,,,,0.29100000000000004,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-09,16.0,5.0,2.286,,,0.0,0.423,0.132,0.06,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.89,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-10,22.0,6.0,3.1430000000000002,,,0.0,0.581,0.159,0.083,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-11,31.0,9.0,4.2860000000000005,,,0.0,0.8190000000000001,0.23800000000000002,0.113,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-12,49.0,18.0,6.857,1.0,1.0,0.14300000000000002,1.295,0.47600000000000003,0.18100000000000002,0.026000000000000002,0.026000000000000002,0.004,,,,,,,,,,,,,,,,,,,,,,,,41.67,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Poland,POL,Europe,2020-03-13,68.0,19.0,9.0,2.0,1.0,0.28600000000000003,1.797,0.502,0.23800000000000002,0.053,0.026000000000000002,0.008,,,,,,,,,,,,,,,,,,,,,,,,41.67,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
